id,eventName,title,duration,unit,order,points,prerequisites,content_overview,content_objectives,content_resources,validationType,problems,systemPrompt,createdAt
8ZnVBb6QW5J0pltD4R5x,Materials Science,Electrical Properties,22 min,Unit 2: Material Properties,6,18,"[""materials_science_01"", ""materials_science_02"", ""materials_science_03""]",Explore electrical conduction mechanisms and electronic properties of materials.,"[""Classify materials by electrical conductivity"", ""Understand band theory"", ""Explain semiconductor doping"", ""Analyze temperature effects on conductivity""]","[{""description"": ""Interactive AI simulations of electronic behavior"", ""type"": ""AIconversation"", ""title"": ""Electronic Properties AI Lab"", ""url"": ""https://example.com/ai-electronics""}]",AIconversation,[],"You are an AI tutor specializing in electrical properties of materials. Help students understand conductors, semiconductors, and insulators. Explain band theory, doping, and temperature effects on conductivity.",2025-07-16T00:55:43.817000+00:00
A5XLDDRRNbfaRo2EzWu1,Materials Science,Smart Materials,35 min,Unit 4: Advanced Topics,11,30,"[""materials_science_01"", ""materials_science_02"", ""materials_science_03"", ""materials_science_04"", ""materials_science_05"", ""materials_science_06"", ""materials_science_07"", ""materials_science_08"", ""materials_science_09"", ""materials_science_10""]",Study materials that can change properties in response to external stimuli.,"[""Define smart material categories"", ""Understand shape memory alloys"", ""Explore piezoelectric materials"", ""Analyze biomimetic approaches""]","[{""description"": ""Comprehensive database of smart material applications"", ""type"": ""research"", ""title"": ""Smart Materials Database"", ""url"": ""https://example.com/smart-materials""}]",notesUpload,[],,2025-07-16T00:55:55.667000+00:00
AAgrRWCOjMNiwb6cgZhQ,Astronomy,Sub-Neptunes,30 min,Unit 3,9,15,[],"Heads into a more specific classification of Neptunian planets, that being sub-neptunes. huzzah!","[""Understand a sub-neptune with a smaller radius but larger mass."", ""Undestand a sub-neptune with a larger radius but smaller mass.""]","[{""title"": ""Sub-Neptune"", ""type"": ""reading"", ""description"": """", ""url"": ""https://en.wikipedia.org/wiki/Sub-Neptune""}]",problems,"[""what is the most common radius range for sub-Neptunes? 1) 1.5 R\ud83d\udf28 to 2 R\ud83d\udf28 2) 2 R\ud83d\udf28 to 3 R\ud83d\udf28 3) 0.5 R\ud83d\udf28 to 1.5 R\ud83d\udf28 4) 5 R\ud83d\udf28 to 7 R\ud83d\udf28"", ""what discovery method has most often been used by telescopes to discover sub-Neptune? Why is this method the most effective for sub-Neptunes?"", ""what is the usual orbital period for sub-Neptunes? 1) ~200 days 2) 100-200 days 3) 10-30 days 4) <50 days"", ""TOI-421 is a famous example of a sub-Neptune planet. What is the approximate surface temperature? 1) 755 F (399 C) 2) 2140 F (1171 C) 3) -1765 F (963 C) 4) 1,340 F (730 C)"", ""What type of star are sub-Neptunes most commonly found orbiting? 1) Red giants 2) White dwarfs 3) Sun-like stars (G-type) 4) M-dwarfs (red dwarfs) "", ""What physical property of sub-Neptunes can be inferred by combining transit data with radial velocity measurements, and how does this help determine their composition? _________________________________________________________________________""]",,2025-07-20T01:10:12.419000+00:00
Ak2O6XCgAHvf4MbvTB6N,Astronomy,Understanding Distances,30 min,Unit 1,2,15,[],"This is meant to give a quick, visual representation of some major ways astronomers measure distance from celestial objects.","[""Understand trigonometric parallax and its limitations"", ""Understand the use of standard candles and what they are"", ""Understand how supernovae (a specific type of standard candle) can be used for even more meaningful measurements."", ""Also understand the role stellar spectra has in determining distance based on the Doppler effect.""]","[{""title"": "" Light seconds, light years, light centuries: How to measure extreme distances - Yuan-Sen Ting"", ""type"": ""video"", ""description"": """", ""url"": ""https://youtu.be/Op3AYaJc0Xw?si=Aq5jfxMhGsBaBNF7""}, {""title"": ""How Do We Measure How Big the Universe Is?"", ""type"": ""video"", ""description"": """", ""url"": ""https://youtu.be/R451yqCHoc0?si=Hj5AQhHyxVuR2qsw""}]",notesUpload,[],,2025-08-07T16:19:08.122000+00:00
BXcBfWgAhlC71KJ0UFzO,Dynamic Planet ,Module 3 - Topographic features 1,40 min,Unit 2,3,10,[],"In this module, you will learn the basic structure of our planet, the differences between the lithosphere and the asthenosphere, and differences between the oceanic curst and the continental crust.","[""Grasp an understand about the four basic layers of our planet"", ""Understand the definition of the lithosphere and the asthenosphere"", ""Understand the differences between the lithosphere and the asthenosphere"", ""Understand the mechanism behind subduction"", ""Understand characteristics surrounding both oceanic and continental crusts"", ""Understand the differences between the oceanic crust and the continental crust""]","[{""title"": ""Mod doc 3"", ""type"": ""reading"", ""description"": """", ""url"": ""https://docs.google.com/document/d/1bkKIpN4TBuUsgyCXfh-SHM9obf5EhKWkHplQL1lWEEY/edit?tab=t.0""}]",problems,"[""Which glacier, mentioned in this module, was famous for its isostatic adjustment behavior (no looking back)?"", "" State five ways how the lithosphere is different from the asthenosphere."", ""Name the 4 main layers of the earth. State how each layer is different from the others, as well as some similarities between them. "", ""State the two categories of crust (as well as their outdated names). Compare them in terms of density, thickness, and location. "", ""Bonus: State how the flow of the mantle occurs. ""]",,2025-07-30T12:57:01.717000+00:00
CgpHNZpC7yQdp4hfPxiL,Engineering CAD,Get familiar!,30 minutes ,Unit 1,3,10,[],,"[""Become familiar with the tools onshape provides."", ""Learn how to find mass, moment of inertia and dimensions. ""]",[],none,[],,2025-08-03T20:36:51.610000+00:00
Cjvu1MDlXdpSBLL7yGAI,Electric Vehicle,EV MODULE #1,60 Minutes,Unit 1,1,10,[],The module aims to teach you the mechanical and electrical principles needed to design and build a vehicle.,"[""- Have an understanding of the rules"", ""- Understand gear ratio & its importance"", ""- Be able to use Ohm's law"", ""- Understand how to calculate in a series/parallel circuit"", ""- Have a grasp on breaking mechanisms and 3D modeling""]","[{""description"": ""Access using DOE email"", ""type"": ""external"", ""title"": ""EV MODULE #1"", ""url"": ""https://docs.google.com/document/d/1crSSkNxTwjjxX2MAeGm_u5rilvMVzu00ryS0oKShF80/edit?tab=t.0""}]",notesUpload,[],,2025-07-20T15:15:57.674000+00:00
D4UlUEtQvN8bqZ8e3PwD,Boomilever,Helpful Video Set 1,25 min,Unit 1,3,10,[],,[],"[{""title"": ""Video 1"", ""type"": ""video"", ""description"": """", ""url"": ""https://www.youtube.com/watch?v=jxJGTMkQzoY""}, {""title"": ""Video 2"", ""type"": ""video"", ""description"": """", ""url"": ""https://www.youtube.com/watch?v=KO9a3qI5OQM""}]",none,[],,2025-08-10T00:17:18.865000+00:00
D5ihu3U7MMRx0irsYzW2,Helicopter,How a Helicopter Works,8 min,Unit 1,2,10,[],"This video will review the 4 basic forces of flight that will prove useful in building our model helicopter, as well as how real helicopters are able to generate lift with rotors (which we will be leveraging in our design as well!! 😁)","[""Understand 4 basic forces of flight"", ""How blades are able to generate lift"", ""Components of a Helicopter""]","[{""title"": "" How Does A Helicopter Work: Everything You Need To Know About Helicopters "", ""type"": ""video"", ""description"": ""Video of the Basics"", ""url"": ""https://www.youtube.com/watch?v=YJBhWVDArLo&t=83s""}]",problems,"[""What are the four aerodynamic forces?"", ""How is lift possible in a helicopter blade?"", ""How are helicopters able to stay stable (not spin out of control)? P.S. This won't matter in our design.""]",,2025-07-21T01:06:59.801000+00:00
Es3jUBH26lp5Bck2WQRV,Dynamic Planet ,Module 10 - Meteorological Concepts,40 min,Unit 4,10,10,[],"if u wanna become a weatherman, pay close attention to this module","[""Identify and explain the types of weather fronts"", ""Identify and explain the types of oceanic fronts"", ""Understand the role of atmospheric circulation in regulating ocean activities"", ""Identify and describe the types of prevailing winds"", ""Understand convergence zones"", ""Acknowledge the existence of latitudinal circulation features""]","[{""title"": ""Mod doc 10"", ""type"": ""reading"", ""description"": """", ""url"": ""https://docs.google.com/document/d/1jMa-a8djL13Mm2pifi5Xq-HNDj1dJ48DErDS75_9TPI/edit?tab=t.0""}]",problems,"[""Explain the difference between a warm front and a cold front. When does warm air rise while cold air sinks?"", ""Our dearest glorious supreme universally-beloved subjext director, Sabir, decided he wants to swim across the Delaware Estuary. When he gets tired, he will traverse on the back of a raft dragged by his minimum wage worker, Simeon Chen, which permits him vision. Throughout his travels, he noticed that the bay is distinctly different from the ocean through the differences in their colors. What type of oceanic front is being observed?"", ""What is a circulation cell? Name the 4 circulation cells, por favor. "", ""What are the 3 main convergence zones and at approximately which latitudes are they located?"", ""Our wonderful event manager, Johnny, fantasizes of soaring like Mary Poppins by utilizing his pink umbrella. For the purpose of accomplishing this very particular and abnormal task, he yearns for the strongest winds. Which of the three prevailing winds should he use? ""]",,2025-07-30T13:52:13.933000+00:00
FU8zl5ZKijg2aR0cO545,Astronomy,Stellar Life Cycle/Supernovae Types,40 min,Unit 1,3,20,[],"Explores the stellar life cycle (formation, branching life shifts, and death) and general supernovae types.","[""Understand the basics of the stellar life cycle (what outcomes results from what and why)"", ""Understand the difference between Type 1 and Type 2 supernovae""]","[{""title"": ""Stellar Life Cycle"", ""type"": ""interactive"", ""description"": """", ""url"": ""https://docs.google.com/forms/d/e/1FAIpQLSdzx5okqQS-HiMcFIOLDC6NfmeF1Ha3Jv8js3LuxvNU-_zXNw/viewform?usp=preview""}, {""title"": ""Supernovae Types"", ""type"": ""interactive"", ""description"": """", ""url"": ""https://docs.google.com/forms/d/e/1FAIpQLSeuuuuUzsWeHQ1KnbxYoZ2XyRdluOM356jrMCqMin8vLBNAdQ/viewform?usp=preview""}]",notesUpload,[],,2025-07-20T01:59:12.399000+00:00
Fm4rw2fsB9STMGzCg0TH,Astronomy,OBAFGKM Classification,20 min,Unit 2,4,10,[],Gives a brief overview of the OBAFGKM spectral classes and some extended spectral types (which I highly recommend going into a bit on your own and/or looking into the module here on extended spectral types).,"[""Understand the different standard OBAFGKM classes and their characteristics"", ""Notable characteristics include temperature, typical lifespan, absorption lines, and typical evolutionary stage""]","[{""title"": ""Stellar Classification: Types of Stars"", ""type"": ""reading"", ""description"": """", ""url"": ""https://youtu.be/ab_5MNP2OfQ?si=mIS-CDW2rJ3tIj_y""}]",problems,"[""What causes stars to twinkle? _______________________________________________________________________"", ""Which two sub-classification systems is the modern classification model composed of? what does each sub-classification represent? _______________________________________________________________________"", ""Which type of star is most common to see in the night sky with the naked eye, and why is it the most luminous physically speaking? _______________________________________________________________________"", ""What is an OB association? _______________________________________________________________________"", ""What are three characteristics of Be stars? _______________________________________________________________________"", ""What is the proton-proton chain process (and what kinds of stars undergo it?) _______________________________________________________________________"", ""Why do K-type stars hold so much interest in the context of finding life? (five reasons) _______________________________________________________________________""]",,2025-08-06T16:41:00.146000+00:00
HIbjU9rSQuXASYsk4p3B,Disease Detectives,Types of Transmission,10 min,Unit 2,4,10,[],This module goes into the possible ways that diseases can be transmitted. ,"[""Different modes of transmission "", ""Direct vs Indirect Transmission""]","[{""description"": ""Excellent notes about modes of transmission. Also gives extra info about chain of infection (portal of exit, host)"", ""type"": ""reading"", ""title"": ""Principles of Epidemiology Section 10"", ""url"": ""https://archive.cdc.gov/www_cdc_gov/csels/dsepd/ss1978/lesson1/section10.html""}]",none,[],,2025-07-30T21:14:45.309000+00:00
HOt9MbbrTthPxgLLZYSh,Astronomy,Mini-Neptunes,20,Unit 2,6,10,[],"Provides general information, properties, and examples of mini-neptunes.","[""Undestand the way that mini-neptunes differ and share similarities with neptunian planets.""]","[{""title"": ""Mini-Neptune"", ""type"": ""reading"", ""description"": """", ""url"": ""https://en.wikipedia.org/wiki/Mini-Neptune""}]",problems,"[""what are two other names for mini-Neptunes? 1) super-Earths/planetesimals 2) gas dwarfs/transitional planets 3) terrestrial planets/rogue planets 4) gas giants/desert planet"", ""name me two similarities and differences between sub-Neptunes and mini-Neptunes _________________________________________________________________________"", ""which of the following best describes the key structural difference between a mini-Neptune and a terrestrial planet? 1) mini-Neptunes lack a solid surface and possess a thick gaseous envelope 2) terrestrial planets have a hydrogen-helium atmosphere, while mini-Neptunes do not 3) mini-Neptunes are composed entirely of gas like hot Jupiters 4) mini-Neptunes orbit only red dwarfs and lack any core"", ""why do mini-Neptunes usually not retain very large atmospheres? 1) they are too far from their host star to accumulate gas 2) their cores are too small to undergo deuterium fusion 3) their lower mass causes significant atmospheric loss due to stellar irradiation 4) they have no magnetic fields to trap atmospheric particles"", ""which of the following most accurately describes a mini-Neptune interior? 1) iron core, silicate mantle, thin hydrogen atmosphere 2) ice/rock core, thick hydrogen-helium envelope 3) metallic hydrogen core with ammonia oceans 4) primarily methane with no rocky core""]",,2025-07-20T01:14:28.363000+00:00
HirxaSoOqttomHvETWZf,Hovercraft,1D and 2D Kinematics,60+ minutes,Unit 1,1,10,[],Each resource in this module will help you better understand kinematics and its basic principles. You should watch each video thoroughly and make sure you understand before you move on to the next video.,"[""Understand 1D and 2D Kinematics"", ""Have a solid understanding of how each kinematic equation works"", ""Be able to solve basic kinematics questions""]","[{""title"": ""Organic Chemistry Tutor - 1D Kinematics"", ""type"": ""video"", ""description"": ""A YouTube video that should cover most if not all of the 1D kinematics principles. Please watch thoroughly."", ""url"": ""https://www.youtube.com/watch?v=dHjWVlfNraM&ab_channel=TheOrganicChemistryTutor""}, {""title"": ""Organic Chemistry Tutor - 2D Kinematics"", ""type"": ""video"", ""description"": ""A YouTube video that covers common equations that appear frequently when solving 2D kinematics problems. You don't have to memorize these equations, but you should watch the video thoroughly until you fully understand why these equations work and what they mean."", ""url"": ""https://www.youtube.com/watch?v=J2nccNaCx3o&t=783s&ab_channel=TheOrganicChemistryTutor""}, {""title"": ""Organic Chemistry Tutor - 2D Kinematics Problems"", ""type"": ""video"", ""description"": ""A YouTube video that goes over a 2D kinematics practice problem that covers many common unknowns that frequently appear in these types of problems. You should try solving this problem on your own before watching this video."", ""url"": ""https://www.youtube.com/watch?v=On5DpeGQ89I&ab_channel=TheOrganicChemistryTutor""}, {""title"": ""1D and 2D Kinematics Practice Questions"", ""type"": ""reading"", ""description"": ""Here is a good practice problem worksheet with solutions provided. You should try a few of these problems and see how comfortable you are with them."", ""url"": ""https://physexams.com/Pdf-files/Kinematics%20Practice%20Problems%20in%20Physics.pdf""}, {""title"": ""Kinematics Equations Practice"", ""type"": ""reading"", ""description"": ""Another worksheet that can help you with getting familiar with the kinematic equations. You should be memorizing these equations, though the first 3 on this worksheet are the most important to memorize since you can derive the other 2 with the using the first 3 equations"", ""url"": ""https://usna.edu/Users/physics/jamer/_files/documents/Kinematics_Worksheet.pdf""}]",none,[],,2025-07-20T23:07:28.656000+00:00
IFGZQNHQS4ByXPNBtnxk,Circuit Lab,More Advanced Series and Parallel Circuits,,Unit 1,3,60,[],"This module delves deeper into the behavior and analysis of advanced series and parallel circuits, including mixed (combination) circuits. Students will learn how to calculate total resistance, voltage, and current in circuits with multiple branches and varying resistor values. Emphasis is placed on practical problem-solving, circuit simplification, and applying Ohm’s Law in complex scenarios.","[""Analyze complex circuits combining series and parallel components"", ""Calculate total resistance in mixed resistor networks"", ""Determine current and voltage distribution across components in advanced circuits"", ""Apply Ohm\u2019s Law to more advanced circuit configurations"", ""Interpret and construct detailed circuit diagrams""]","[{""title"": "" Intro to Circuits 11: Resistors in Series and Parallel"", ""type"": ""video"", ""description"": """", ""url"": ""https://youtu.be/gXBUPyeWAiY?si=DTIQ-fIA_-UaCCRh""}, {""title"": ""More complicated series and parallel circuits exercise"", ""type"": ""interactive"", ""description"": ""complete this worksheet ( show all necessary work )"", ""url"": ""https://drive.google.com/file/d/1xaZA2DJC7FWXynVsWlJPDOUXZGK5jI7r/view?usp=sharing""}, {""title"": ""Rules and Methods for Circuit Analysis"", ""type"": ""reading"", ""description"": """", ""url"": ""https://docs.google.com/document/d/13TMhyJBC474EMTTkTvAWaVH5lo2rydT9G1JtdpvwE-A/edit?usp=sharing""}, {""title"": ""Intro to Circuits 12: Batteries in Series and Parallel"", ""type"": ""video"", ""description"": """", ""url"": ""https://youtu.be/vhi5wl7rd9Q?feature=shared""}, {""title"": "" Intro to Circuits 14: Voltage is Measured Between Two Points!"", ""type"": ""video"", ""description"": """", ""url"": ""https://youtu.be/Zxx2DBQqBu8?feature=shared""}]",notesUpload,[],,2025-08-07T20:34:05.957000+00:00
IIA853SCI6fb96RP6lB5,Anatomy and Physiology,Peripheral Nervous System,35 min,Unit 2,5,25,[],,"[""What makes up the parasympathetic nervous system"", ""Autonomic vs somatic systems"", ""Neural ganglia and nerve structure "", ""Reflex arcs"", ""Types of neurons (sensory vs motor)""]","[{""title"": ""PNS Openstax Section 1.5"", ""type"": ""reading"", ""description"": ""notes about ganglia and nerves\nonly have to know basics about cranial/spinal nerves. don't feel forced to know every single one of these nerves"", ""url"": ""https://openstax.org/books/introduction-behavioral-neuroscience/pages/1-5-the-peripheral-nervous-system-pns""}, {""title"": ""PNS Openstax Section 13.4"", ""type"": ""reading"", ""description"": ""good introductory notes to PNS\n\nnotes about ganglia and nerves\nonly have to know basics about cranial/spinal nerves. don't feel forced to know every single one of these nerves"", ""url"": ""https://openstax.org/books/anatomy-and-physiology-2e/pages/13-4-the-peripheral-nervous-system""}, {""title"": ""Reflex Arcs- Physiopedia"", ""type"": ""reading"", ""description"": ""gives good info about reflex arcs and types of reflexes"", ""url"": ""https://www.physio-pedia.com/Reflexes""}, {""title"": ""Types of Neurons- Queensland Brain Institute"", ""type"": ""reading"", ""description"": ""quick article distinguishing the types of neurons. You should know the difference between sensory and motor neurons!"", ""url"": ""https://qbi.uq.edu.au/brain/brain-anatomy/types-neurons""}]",notesUpload,[],,2025-08-07T20:33:19.231000+00:00
IOmlXhGTCzexbMazreDh,Disease Detectives,Disease Terminology,20 min ,Unit 1,2,15,[],This modules goes into essential vocabulary and terminology that pertains to epidemiology and diseases. ,"[""Infections"", ""Measures"", ""Pathogens + Carriers"", ""Epidemiology Vocabulary ""]","[{""title"": ""CDC- Epidemiology Glossary "", ""type"": ""reading"", ""description"": ""Lists a bunch of good terminology to know for this event. Will go into statistics and study related terms in later modules!"", ""url"": ""https://www.cdc.gov/reproductive-health/glossary/index.html""}, {""title"": ""Vocabulary List"", ""type"": ""reading"", ""description"": ""Comprehensive list of vocabulary you should absolutely know for the diagnostic"", ""url"": ""https://docs.google.com/document/d/1zLs1tT1MuJhNEKf4f5yvT67ibmGQ2Wd2doMhpKQFa5k/edit?tab=t.0""}]",problems,"[""Define the difference between contamination and infection"", ""Provide an example of a vector and a fomite"", ""Define the different types of immunity and how you would acquire them"", ""What is the difference between disease prevalence and incidence? ""]",,2025-07-20T02:30:04.459000+00:00
